NR;SH2;SHfull
1;sh2100;2100 General Psychology
2;sh2140;2140 History & Systems
3;sh2200;2200 Psychometrics & Statistics & Methodology
4;sh2220;2220 Tests & Testing
5;sh2221;2221 Sensory & Motor Testing
6;sh2222;2222 Developmental Scales & Schedules
7;sh2223;2223 Personality Scales & Inventories
8;sh2224;2224 Clinical Psychological Testing
9;sh2225;2225 Neuropsychological Assessment
10;sh2226;2226 Health Psychology Testing
11;sh2227;2227 Educational Measurement
12;sh2228;2228 Occupational & Employment Testing
13;sh2229;2229 Consumer Opinion & Attitude Testing
14;sh2240;2240 Statistics & Mathematics
15;sh2260;2260 Research Methods & Experimental Design
16;sh2300;2300 Human Experimental Psychology
17;sh2320;2320 Sensory Perception
18;sh2323;2323 Visual Perception
19;sh2326;2326 Auditory & Speech Perception
20;sh2330;2330 Motor Processes
21;sh2340;2340 Cognitive Processes
22;sh2343;2343 Learning & Memory
23;sh2346;2346 Attention
24;sh2360;2360 Motivation & Emotion
25;sh2380;2380 Consciousness States
26;sh2390;2390 Parapsychology
27;sh2400;2400 Animal Experimental & Comparative Psychology
28;sh2420;2420 Learning & Motivation
29;sh2440;2440 Social & Instinctive Behavior
30;sh2500;2500 Physiological Psychology & Neuroscience
31;sh2510;2510 Genetics
32;sh2520;2520 Neuropsychology & Neurology
33;sh2530;2530 Electrophysiology
34;sh2540;2540 Physiological Processes
35;sh2560;2560 Psychophysiology
36;sh2580;2580 Psychopharmacology
37;sh2600;2600 Psychology & the Humanities
38;sh2610;2610 Literature & Fine Arts
39;sh2630;2630 Philosophy
40;sh2700;2700 Communication Systems
41;sh2720;2720 Linguistics & Language & Speech
42;sh2750;2750 Mass Media Communications
43;sh2800;2800 Developmental Psychology
44;sh2820;2820 Cognitive & Perceptual Development
45;sh2840;2840 Psychosocial & Personality Development
46;sh2860;2860 Gerontology
47;sh2900;2900 Social Processes & Social Issues
48;sh2910;2910 Social Structure & Organization
49;sh2920;2920 Religion
50;sh2930;2930 Culture & Ethnology
51;sh2950;2950 Marriage & Family
52;sh2953;2953 Divorce & Remarriage
53;sh2956;2956 Childrearing & Child Care
54;sh2960;2960 Political Processes & Political Issues
55;sh2970;2970 Sex Roles & Women's Issues
56;sh2980;2980 Sexual Behavior & Sexual Orientation
57;sh2990;2990 Drug & Alcohol Usage (Legal)
58;sh3000;3000 Social Psychology
59;sh3020;3020 Group & Interpersonal Processes
60;sh3040;3040 Social Perception & Cognition
61;sh3100;3100 Personality Psychology
62;sh3120;3120 Personality Traits & Processes
63;sh3140;3140 Personality Theory
64;sh3143;3143 Psychoanalytic Theory
65;sh3200;3200 Psychological & Physical Disorders
66;sh3210;3210 Psychological Disorders
67;sh3211;3211 Affective Disorders
68;sh3213;3213 Schizophrenia & Psychotic States
69;sh3215;3215 Neuroses & Anxiety Disorders
70;sh3217;3217 Personality Disorders
71;sh3230;3230 Behavior Disorders & Antisocial Behavior
72;sh3233;3233 Substance Abuse & Addiction
73;sh3236;3236 Criminal Behavior & Juvenile Delinquency
74;sh3250;3250 Developmental Disorders & Autism
75;sh3253;3253 Learning Disorders
76;sh3256;3256 Mental Retardation
77;sh3260;3260 Eating Disorders
78;sh3270;3270 Speech & Language Disorders
79;sh3280;3280 Environmental Toxins & Health
80;sh3290;3290 Physical & Somatoform & Psychogenic Disorders
81;sh3291;3291 Immunological Disorders
82;sh3293;3293 Cancer
83;sh3295;3295 Cardiovascular Disorders
84;sh3297;3297 Neurological Disorders & Brain Damage
85;sh3299;3299 Vision & Hearing & Sensory Disorders
86;sh3300;3300 Health & Mental Health Treatment & Prevention
87;sh3310;3310 Psychotherapy & Psychotherapeutic Counseling
88;sh3311;3311 Cognitive Therapy
89;sh3312;3312 Behavior Therapy & Behavior Modification
90;sh3313;3313 Group & Family Therapy
91;sh3314;3314 Interpersonal & Client Centered & Humanistic Therapy
92;sh3315;3315 Psychoanalytic Therapy
93;sh3340;3340 Clinical Psychopharmacology
94;sh3350;3350 Specialized Interventions
95;sh3351;3351 Clinical Hypnosis
96;sh3353;3353 Self Help Groups
97;sh3355;3355 Lay & Paraprofessional & Pastoral Counseling
98;sh3357;3357 Art & Music & Movement Therapy
99;sh3360;3360 Health Psychology & Medicine
100;sh3361;3361 Behavioral & Psychological Treatment of Physical Illness
101;sh3363;3363 Medical Treatment of Physical Illness
102;sh3365;3365 Promotion & Maintenance of Health & Wellness
103;sh3370;3370 Health & Mental Health Services
104;sh3371;3371 Outpatient Services
105;sh3373;3373 Community & Social Services
106;sh3375;3375 Home Care & Hospice
107;sh3377;3377 Nursing Homes & Residential Care
108;sh3379;3379 Inpatient & Hospital Services
109;sh3380;3380 Rehabilitation
110;sh3383;3383 Drug & Alcohol Rehabilitation
111;sh3384;3384 Occupational & Vocational Rehabilitation
112;sh3385;3385 Speech & Language Therapy
113;sh3386;3386 Criminal Rehabilitation & Penology
114;sh3400;3400 Professional Psychological & Health Personnel Issues
115;sh3410;3410 Professional Education & Training
