"ID","evolution_terms","n_docs"
"1","robot, touch, interaction, gesture, action, agent, partner, gaze, stroke, game",542
"2","pain, emotion, emotional, facial, regulation, interoceptive, expression, automatic, sensitivity, disgust",981
"3","psychotherapy, therapy, dream, therapeutic, psychotherapeutic processes, psychoanalysis, psychoanalytic, music, therapist, psychotherapist",2921
"4","ptsd, symptom, trauma, posttraumatic, stress, disorder, traumatic, posttraumatic stress disorder, icd-11, grief",1570
"5","neural, stimulation, brain, eeg, stimulus, cortex, process, alpha, theta, response",1527
"6","trauma, symptom, ptsd, refugee, traumatic, depression, posttraumatic, stress, disorder, event",1480
"7","driver, drive, traffic, vehicle, safety, road, automate, mobility, noise, automation",991
"8","treatment, intervention, depression, symptom, trial, therapy, cbt, randomize, outcome, depressive",2089
"9","teacher, student, school, education, teach, educational, competence, learn, classroom, self-efficacy",1932
"10","covid-19, pandemic, coronavirus, police, norm, lockdown, distance, virus, public, officer",2460
"11","epistemic, user, nonverbal, fake, agent, engagement, privacy, belief, witness, chance",2056
"12","memory, learn, cue, retrieval, encode, forget, experiment, extinction, retention, recall",1248
"13","child, parent, parental, adolescent, family, mother, problem, father, peer, children's",1627
"14","forensic, sexual, offender, criminal, recidivism, violence, expert, abuse, crime, risk",2696
"15","employee, leadership, management, organizational, leader, creativity, organization, coach, manager, follower",1865
"16","error, task, conflict, response, cue, stimulus, reward, signal, inhibition, attentional",1055
"17","endurance, deception, speaker, cooperation, discipline, biology, lie, autistic, absolute, sexual",902
"18","psychotherapy, systemic, psychotherapist, train, guideline, practice, therapy, therapist, qualitative, counsel",3269
"19","covid-19, dropout, pandemic, coronavirus, defense, psychotherapist, fear, threat, personality, psychotherapy",1557
"20","bias, self-compassion, social, virtual, delusion, loneliness, reaction, reality, user, interpretation",670
"21","music, musical, thought, musician, rhythm, metaphor, coverage, home, module, smart",708
"22","gender, woman, man, sexual, female, male, sex, stereotype, voice, human sex differences",2230
"23","adhd, psychosis, genetic, disorder, hyperactivity, symptom, risk, psychotic, schizophrenia, deficit",834
"24","robot, moral, conspiracy, decision, think, robotic, client, ethic, aid, indicator",586
"25","symptom, depression, patient, depressive, disorder, mdd, psychosis, schizophrenia, clinical, severity",1214
"26","patient, rehabilitation, care, cancer, treatment, hospital, inpatient, health, healthcare, psychosocial",2257
"27","care, health, pandemic, covid-19, child, mental, adolescent, service, refugee, professional",2733
"28","employee, career, job, team, leader, leadership, workplace, follower, satisfaction, organizational",2366
"29","facial, face, emotion, bias, emotional, expression, empathy, neutral, stimulus, recognition",852
"30","maltreatment, abuse, childhood, traumatic, resilience, trauma, child, attachment, mother, risk",1887
"31","sleep, insomnia, memory, dream, consolidation, disturbance, quality, night, vigilance, wake",800
"32","medium, user, technology, app, communication, digital, social, online, trust, internet",1664
"33","psychotherapy, therapy, therapist, treatment, psychotherapeutic techniques, psychotherapeutic processes, therapeutic, psychodynamic, disorder, psychotherapist",4485
"34","pain, placebo, chronic, athlete, intensity, pain perception, somatosensory, instruction, stimulation, perception",714
"35","alcohol, consumption, drink, addiction, crave, binge, withdrawal, smartphone, old, intake",802
"36","age, old, adult, cognitive, memory, young, performance, age-related, task, decline",836
"37","attachment, couple, family, child, parent, relationship, supervision, psychoanalytic, father, attachment behavior",2930
"38","mindfulness, self-compassion, meditation, emotion, relaxation, practice, mindfulness-based, experience, regulation, arousal",1517
"39","scale, validity, item, reliability, version, psychometric, factor, questionnaire, instrument, property",1295
"40","therapy, psychotherapy, treatment, therapeutic, disorder, therapist, psychotherapeutic techniques, patient, psychodynamic, psychotherapeutic processes",4093
"41","decision, choice, reward, preference, food, consumer, decision-making, make, decision making, uncertainty",1376
"42","brain, neural, network, connectivity, functional, cortex, region, cortical, leave, activation",1160
"43","oxytocin, gene, genetic, pain, receptor, genotype, ocd, stress, polymorphism, disorder",811
"44","reward, decision, value, decision-making, choice, make, monetary, decision making, generalization, judgment",730
"45","language, infant, child, gesture, parental, object, development, developmental, month, linguistic",1623
"46","leadership, team, coach, employee, organization, organizational, competency, manager, management, teamwork",3603
